Instrument Symbol,Symbol,LastDay,LastQuarter,Piyasa Değeri (mn.),FD/FVAÖK,F/K,Analist Sayısı,Analist Al Tavsiyeleri (%),Analist Tut Tavsiyeleri (%),Ortalama Temettü Verimi (%) - 5 Yıl
ULKER.E,ÜLKER,2021-07-07,2021/03,"6 983,64","5,17","4,38","10,00","80,00","20,00","1,26"
VESBE.E,VESTEL BEYAZ EŞYA,2021-07-07,2021/03,"8 960,40","5,00","5,95","2,00","50,00","50,00","9,17"
TTKOM.E,TÜRK TELEKOM,2021-07-07,2021/03,"23 205,00","3,07","5,99","11,00","81,82","18,18","1,48"
ARCLK.E,ARÇELİK,2021-07-07,2021/03,"22 461,21","5,01","6,10","13,00","69,23","23,08","2,53"
PETKM.E,PETKİM,2021-07-07,2021/03,"13 584,38","6,54","6,84","10,00","60,00","40,00","4,20"
ASELS.E,ASELSAN,2021-07-07,2021/03,"33 903,60","8,60","7,12","8,00","75,00","25,00","0,53"
EKGYO.E,EMLAK G.M.Y.O.,2021-07-07,2021/03,"7 220,00","13,20","7,43","3,00","66,67","33,33","2,50"
TOASO.E,TOFAŞ OTOMOBİL FAB.,2021-07-07,2021/03,"15 740,00","6,21","7,66","12,00","91,67","8,33","7,71"
SISE.E,ŞİŞE CAM,2021-07-07,2021/03,"23 984,97","6,13","7,88","9,00","100,00","0,00","2,78"
TCELL.E,TURKCELL,2021-07-07,2021/03,"35 596,00","3,58","7,96","13,00","76,92","23,08","5,21"
ENKAI.E,ENKA İNŞAAT,2021-07-07,2021/03,"50 680,00","7,40","7,98","6,00","50,00","50,00","3,79"
INDES.E,İNDEKS BİLGİSAYAR,2021-07-07,2021/03,"1 386,56","3,34","8,06","2,00","100,00","0,00","6,35"
KOZAL.E,KOZA ALTIN İŞLETMELERİ,2021-07-07,2021/03,"16 820,75","5,27","8,09","5,00","20,00","80,00","0,00"
CIMSA.E,ÇİMSA,2021-07-07,2021/03,"3 042,10","7,78","8,82","4,00","25,00","75,00","4,23"
OTKAR.E,OTOKAR,2021-07-07,2021/03,"6 720,00","11,08","9,55","4,00","25,00","50,00","3,83"
ENJSA.E,ENERJİSA ENERJİ,2021-07-07,2021/03,"12 460,28","5,90","9,75","5,00","80,00","20,00","7,13"
YATAS.E,YATAŞ,2021-07-07,2021/03,"2 028,28","6,29","10,18","2,00","100,00","0,00","0,22"
AEFES.E,ANADOLU EFES BİRACILIK,2021-07-07,2021/03,"13 203,95","3,65","10,66","7,00","100,00","0,00","4,20"
EREGL.E,EREĞLİ DEMİR ÇELİK,2021-07-07,2021/03,"63 105,00","6,61","11,22","10,00","80,00","10,00","8,74"
KRDMD.E,KARDEMİR (D),2021-07-07,2021/03,"5 578,62","6,11","11,26","7,00","100,00","0,00","2,21"
FROTO.E,FORD OTOSAN,2021-07-07,2021/03,"60 917,98","10,12","11,31","12,00","41,67","41,67","5,53"
AKSEN.E,AKSA ENERJİ,2021-07-07,2021/03,"7 302,84","6,07","12,11","2,00","50,00","50,00","0,00"
CCOLA.E,COCA COLA İÇECEK,2021-07-07,2021/03,"20 247,91","6,34","13,15","12,00","91,67","8,33","2,52"
BIMAS.E,BİM BİRLEŞİK MAĞAZALAR,2021-07-07,2021/03,"38 010,72","7,74","13,29","17,00","76,47","23,53","3,03"
KORDS.E,KORDSA TEKNİK TEKSTİL,2021-07-07,2021/03,"4 065,66","9,87","17,99","2,00","100,00","0,00","3,96"
TKFEN.E,TEKFEN HOLDİNG,2021-07-07,2021/03,"5 535,20","5,62","18,15","9,00","66,67","33,33","4,03"
